编号,句子,实体1a,实体1b
2130,《空军时报》11日称，2月5日，4架美国空军的CV-22“鱼鹰”倾斜旋翼机在越南岘港国际机场中转降落。“这是自越南战争结束以来，美国空军作战飞机首次出现在越南领土”。美空军部队新闻发言人勒妮·道格拉斯中尉证实，这些“鱼鹰”战机隶属于总部设在日本冲绳的美空军353特种作战大队，驻地位于东京横田空军基地。此行的目的是前往泰国参加“金色眼镜蛇-2019”国际联合军演，在岘港机场降落主要是进行中途加油，并进行为期1小时的中途休整。目前，这些“鱼鹰”已飞往泰国参加演习，该演习将在12日至23日展开。,CV-22“鱼鹰”倾斜旋翼机,越南岘港国际机场
2132,《舰载武器》杂志执行主编石宏12日告诉《环球时报》，美军在南海周边的小动作时间前后衔接、地点遥相呼应，它们之间是有联系、有计划、有指向的。美军频频进入南海搅局，就是为在已经平静的南海区域制造热点，恐吓、拉拢南海周边国家对抗中国。无论是把先进的F-35B隐形战机投入南海进行实地演训，还是故意在昔日对手越南进行中转加油降落，既有进行实地合练、展示军事优势、传递军事威慑的意义，同时也带有一定程度的前出布局指向。目前美国军舰到南海执行所谓“航行自由”行动，主要从新加坡樟宜基地、日本横须贺基地出发，到南海时已经“师老兵疲”，美海军多次抱怨“航行自由”行动成本太高，过度牵扯舰队精力，浪费军舰的发动机寿命。未来不能排除美国海军争取停靠越南港口、临近南海设立军事基地的可能性。▲（石留风）,F-35B隐形战机,越南
2134,【环球时报综合报道】据美国The Drive网站12日报道，英国海军正在研制“未来沿海攻击舰”。不过英国海军最终得到的可能不是全新的未来战舰，而是由民用船舶改装而来的“便宜货”。,英国海军,“未来沿海攻击舰”
2135,报道称，英国防务大臣嘉文·威廉姆森11日演讲时提到了“未来沿海攻击舰”的研制计划。这种新型舰艇具备传统两栖作战所需的一切：登陆艇、直升机甲板、大量人员的居住设施以及长期部署海外的能力。但它的最大特点却是“便宜”。为保证新航母得到足够的人力和资金支持，英国海军已经不得不考虑退役现有的两艘两栖攻击舰。面对如此窘迫的境遇，英军准备效仿美军“前进基地母舰”的做法，基于民用滚装船打造“未来沿海攻击舰”，以尽量节省建造成本和时间。据称，这种两栖舰艇可以装载多达400名海军陆战队员及其装备，宽大的甲板足以容纳直升机起降。威廉姆森甚至设想，英军可以组建两个以“未来沿海攻击舰”为核心的“低烈度作战特遣舰队”，分别部署于印度洋-太平洋与地中海地区，保持英军的长期海外存在。,英军,“低烈度作战特遣舰队”
2144,【环球网军事2月12日报道】据外国网友发布在国外社交媒体上的照片显示，在伊朗于2月10日举办的第8战术战斗机基地航空展上，发生了一次意外的“弹射”事故。从现场照片来看，一架进行地面展示的T-33A教练机座舱盖被弹射飞起的座椅顶穿。这名网友解释到，这是航展期间发生的一起离奇事故，一名8岁男孩进入这架教练机的驾驶舱后座进行体验，结果误启动了座椅的弹射程序，随着座椅在穿透座舱盖之后坠落在地，导致“多处骨折”。,第8战术战斗机基地航空展,“弹射”事故
2146,这架出事的T-33A教练机是一架早已退役的战机，已经不具备飞行能力，仅在地面进行静态展示，供观众进入座舱拍照留念。但诡异的是该机并没有拆除座椅的火箭弹射装置，也没有相应的保险措施，存在很大的安全隐患。伊朗在上世纪五六十年代向美国采购了大批的T-33A教练机，这种机型装备的是早期研制的火箭弹射座椅，其黄色弹射拉环手柄位于扶手两侧。但该机型并不具备零高度弹射的能力，在弹射时需要保证300多米以上的飞行高度才能确保安全开伞。,伊朗,T-33A教练机
2158,【环球网军事2月12日报道】俄罗斯卫星新闻通讯社2月12日报称，近期执行战略任务的里海舰队舰船将得到可靠的空袭防范保护，这些舰船将装备最新型的P-18RT雷达。,里海舰队舰船,P-18RT雷达
2159,报道称，P-18RT雷达是表现优异的P-18米波雷达的改型版本，该雷达能自动发现目标、测量坐标、确定目标属性并进行跟踪。此外，该雷达可以定位有源干扰器并将坐标发送给指挥部。系统含一个控制站、一台带天线桅杆的机器和一个供电站。雷达可在-40至+50度的温度区间工作。,P-18RT雷达,P-18米波雷达
2160,俄罗斯里海舰队拥有最先进的导弹舰，其中包括11661K型“鞑靼斯坦”号和“达吉斯坦”号导弹舰、21631型“格拉德·斯维亚日斯克”号、“乌格利奇”号、“大乌斯秋格”号小型导弹舰、12411型“Stupinets” 号导弹艇。苏联末期以来，舰队重要性降低，但当“口径”巡航导弹的运载舰被派往里海，一切都发生了改变。全世界都通过直播看见了“口径”全距离打击叙利亚恐怖分子设施。俄罗斯直观地演示了如何从境内打击敌人，无论敌人在中东和中亚的哪个角落，都伸手可及。,俄罗斯里海舰队,11661K型“鞑靼斯坦”号
2166,这份报告详细介绍了中俄的反卫星武器，包括电子战系统、定向能源武器，以及“动力”反卫星导弹等。报告称，北京和莫斯科都有可能寻求使用激光武器，以摧毁、弱化或损伤美国的卫星及其传感器。,中俄的反卫星武器,电子战系统
2175,【环球时报驻委内瑞拉特约记者 霍健癸 环球时报记者 杜海川 柳玉鹏 显扬】在委内瑞拉政治局势日益紧张的背景下，委内瑞拉总统马杜罗10日宣布，启动“2019年-安哥斯图拉200周年”军事演习。据委内瑞拉电视台VTV报道，本次演习是委内瑞拉史上规模最大的一次军演。舆论认为，委政府可能是希望通过本次演习展示自己的力量，回应西方国家的挑衅，同时向外界表明，军队与政府站在一起。,委内瑞拉总统马杜罗,“2019年-安哥斯图拉200周年”军事演习
2177,据俄罗斯卫星网11日报道，马杜罗10日在军演开幕式上表示，委内瑞拉需要参考以往的行动经验，对可能的军事威胁做出评估，必须为捍卫国家主权、领土完整和独立做准备。他同时称，委内瑞拉将投资购买先进武器，以使士兵、军人和民兵拥有现代化武器。马杜罗强调，加强国家军事力量的目的是为了维护和平，保护国家主权、领土完整和独立。他还警告美国领导人不要入侵委内瑞拉，并承诺一旦发生入侵，将让美帝国主义为此付出高昂代价。“今日俄罗斯”电视台认为，马杜罗此番表态显示出，他对华盛顿呼吁委内瑞拉政权更迭，以及大力支持反对派领导人瓜伊多的行为，可能升级为直接的军事入侵行动的担忧。在马杜罗宣布举行大规模军演前一天，瓜伊多对法新社表示，美国军事干预委内瑞拉局势“十分有争议”，但存在这种可能性。演习正式开始前，马杜罗还在委内瑞拉北部的米兰达州，检阅了军事装备，包括武装部队使用的俄制火箭发射器。,武装部队,俄制火箭发射器
2181,【环球时报驻埃及特派记者 曲翔宇】据路透社11日报道，为推动阿富汗政府与塔利班和谈，结束长达17年的战乱局面，美国代理防长沙纳汉当天突访阿富汗。这是沙纳汉去年12月担任美国代理防长以来，首次访阿。,美国代理防长沙纳汉,阿富汗
2184,另据俄罗斯卫星网11日报道，美国中央司令部司令、陆军上将沃特尔表示，美国可能会在最近几周内开始从叙利亚撤出地面部队。,美国,地面部队
2186,【环球时报记者 王盼盼 报特约记者 任重】11日上午，美国海军两艘军舰未经中国政府允许，擅自进入中国南沙群岛仁爱礁和美济礁邻近海域。中国外交部发言人华春莹当天表示，美方军舰有关行为侵犯中国主权，中方对此表示强烈不满和坚决反对，美方执意在南海挑起事端，这种做法不得人心。,美国海军两艘军舰,中国南沙群岛仁爱礁和美济礁邻近海域
2187,美国有线电视新闻网(CNN)11日报道称，美军当天派出“斯普鲁恩斯”号和“普雷贝尔”号导弹驱逐舰靠近南海争议岛屿，这一行为“必将引发北京的愤怒”。报道称，这两艘军舰驶入南沙岛礁12海里范围内，是美国海军“航行自由”行动的一部分。美国海军第七舰队发言人多斯对CNN表示，本次任务要挑战过度的海洋主张，并确保水道能在国际法保护下畅行无阻。他声称，美军所有的任务都符合国际法，旨在向外展示美方能在南海自由地航行、飞行和执行任务，再次确保航行自由。一名不愿透露姓名的美国官员称，这两艘军舰是在距离南沙群岛美济礁12海里范围内航行。,“斯普鲁恩斯”号和“普雷贝尔”号导弹驱逐舰,南海争议岛屿
2188,在11日下午的中国外交部记者会上，华春莹在被问及此事时说，中国海军依法对美舰进行识别查证，并予以警告驱离。美方军舰有关行为侵犯中国主权，破坏有关海域的和平、安全和良好秩序。中方对此表示强烈不满和坚决反对。,中国海军,美舰
2190,11日晚些时候，中国人民解放军南部战区新闻发言人李华敏大校也就美军舰擅闯我南沙岛礁邻近海域发表谈话。李华敏大校表示，美舰擅自进入南沙群岛邻近海域，南部战区组织海空兵力和守礁部队对美舰全程跟踪监视，并进行识别查证、警告驱离。美方所作所为，违反中国法律和相关国际法，侵犯中国主权，危害地区和平稳定。他说，中方敦促美方停止类似挑衅行动，战区部队将严密监控有关海空情况，根据需要采取必要措施，坚决捍卫国家主权和安全。,美舰,南沙群岛邻近海域
